method,gene,corr
raw,MS4A1,0.31603634737194836
raw,CD1C,0.1079853575224583
raw,CD3D,-0.1615247277354116
SEDR,MS4A1,0.6876634031557384
SEDR,CD1C,0.7476757384011423
SEDR,CD3D,-0.5775836354714523
