method,value,type
SEDR,1.9632720393283274,ILISI
SEDR,1.3610238664583971,ILISI
SEDR,1.2049748632087616,ILISI
SEDR,1.2999692065721156,ILISI
SEDR,1.1969196037173664,ILISI
SEDR,1.3262363749554267,ILISI
SEDR,1.3746928382050525,ILISI
SEDR,1.9984787103669597,ILISI
SEDR,1.9303482836956476,ILISI
SEDR,1.1549947974757442,ILISI
SEDR,1.9376479106433269,ILISI
SEDR,1.5311089066396584,ILISI
SEDR,1.6848696746616747,ILISI
SEDR,1.402829047388904,ILISI
SEDR,1.6312116586163343,ILISI
SEDR,1.8437903387700518,ILISI
SEDR,1.2577566302729968,ILISI
SEDR,1.8879047931547133,ILISI
SEDR,1.98816212758117,ILISI
SEDR,1.2053575626905533,ILISI
SEDR,1.5255540792532396,ILISI
SEDR,1.2913195137572946,ILISI
SEDR,1.991740347380026,ILISI
SEDR,1.2210140861897205,ILISI
SEDR,1.4970162150504387,ILISI
SEDR,1.2889767391785285,ILISI
SEDR,1.3596516883853265,ILISI
SEDR,1.5283611165277011,ILISI
SEDR,1.7268797872227288,ILISI
SEDR,1.378827727463026,ILISI
SEDR,1.7604427700367242,ILISI
SEDR,1.947299091045112,ILISI
SEDR,1.686266351685896,ILISI
SEDR,1.8652740806415895,ILISI
SEDR,1.2156598755154193,ILISI
SEDR,1.5277462787402554,ILISI
SEDR,1.9999042856558131,ILISI
SEDR,1.8555920185457158,ILISI
SEDR,1.7850821613463264,ILISI
SEDR,1.7663119749469285,ILISI
SEDR,1.997073322252474,ILISI
SEDR,1.812891079122517,ILISI
SEDR,1.6040305492575075,ILISI
SEDR,1.5433494738479883,ILISI
SEDR,1.4575452412935113,ILISI
SEDR,1.4634435239952122,ILISI
SEDR,1.6525434909204073,ILISI
SEDR,1.72390826170148,ILISI
SEDR,1.5378667415780192,ILISI
SEDR,1.218124853928048,ILISI
SEDR,1.3876196145488908,ILISI
SEDR,1.572387992360734,ILISI
SEDR,1.5076929302335673,ILISI
SEDR,1.3895913660869128,ILISI
SEDR,1.2732924414207847,ILISI
SEDR,1.9415356915692477,ILISI
SEDR,1.4037135327166463,ILISI
SEDR,1.887094790005863,ILISI
SEDR,1.4735803104874772,ILISI
SEDR,1.4970210452815165,ILISI
